year,age_group,male,female,total
1950,0-1,542,512,1054
1950,1-2,518,492,1010
1950,2-3,483,459,942
1950,3-4,460,439,899
1950,4-5,404,387,791
1950,5-6,379,369,748
1950,6-7,512,492,1004
1950,7-8,523,500,1023
1950,8-9,529,507,1036
1950,9-10,633,606,1239
1950,10-11,689,663,1352
1950,11-12,679,653,1332
1950,12-13,637,615,1252
1950,13-14,605,583,1188
1950,14-15,602,583,1185
1950,15-16,601,579,1180
1950,16-17,554,536,1090
1950,17-18,456,443,899
1950,18-19,461,453,914
1950,19-20,475,470,945
1950,20-21,511,509,1020
1950,21-22,502,504,1006
1950,22-23,505,510,1015
1950,23-24,456,501,957
1950,24-25,431,522,953
1950,25-26,426,551,977
1950,26-27,377,532,909
1950,27-28,378,541,919
1950,28-29,411,578,989
1950,29-30,430,612,1042
1950,30-31,442,642,1084
1950,31-32,312,440,752
1950,32-33,223,316,539
1950,33-34,221,310,531
1950,34-35,245,347,592
1950,35-36,336,481,817
1950,36-37,417,596,1013
1950,37-38,443,612,1055
1950,38-39,463,627,1090
1950,39-40,448,601,1049
1950,40-41,470,630,1100
1950,41-42,492,642,1134
1950,42-43,496,640,1136
1950,43-44,504,627,1131
1950,44-45,503,618,1121
1950,45-46,523,599,1122
1950,46-47,523,596,1119
1950,47-48,506,577,1083
1950,48-49,517,589,1106
1950,49-50,502,569,1071
1950,50-51,485,553,1038
1950,51-52,453,540,993
1950,52-53,425,534,959
1950,53-54,393,513,906
1950,54-55,379,510,889
1950,55-56,353,487,840
1950,56-57,336,472,808
1950,57-58,327,457,784
1950,58-59,315,435,750
1950,59-60,314,429,743
1950,60-61,302,412,714
1950,61-62,298,402,700
1950,62-63,293,387,680
1950,63-64,284,372,656
1950,64-65,270,353,623
1950,65-66,264,340,604
1950,66-67,251,321,572
1950,67-68,238,301,539
1950,68-69,230,289,519
1950,69-70,218,271,489
1950,70-71,209,261,470
1950,71-72,201,249,450
1950,72-73,190,236,426
1950,73-74,176,216,392
1950,74-75,164,201,365
1950,75-76,147,180,327
1950,76-77,127,157,284
1950,77-78,109,135,244
1950,78-79,94,118,212
1950,79-80,71,89,160
1950,80-81,67,87,154
1950,81-82,54,71,125
1950,82-83,42,58,100
1950,83-84,33,46,79
1950,84-85,27,39,66
1950,85-86,19,29,48
1950,86-87,15,23,38
1950,87-88,11,17,28
1950,88-89,7,12,19
1950,89-90,5,8,13
1950,90-91,0,0,0
1950,91-92,0,0,0
1950,92-93,0,0,0
1950,93-94,0,0,0
1950,94-95,0,0,0
1950,95-96,0,0,0
1950,96-97,0,0,0
1950,97-98,0,0,0
1950,98-99,0,0,0
1950,99-100,0,0,0
1951,0-1,541,513,1054
1951,1-2,535,507,1042
1951,2-3,520,495,1015
1951,3-4,486,463,949
1951,4-5,460,439,899
1951,5-6,408,392,800
1951,6-7,370,358,728
1951,7-8,505,490,995
1951,8-9,520,502,1022
1951,9-10,517,492,1009
1951,10-11,635,612,1247
1951,11-12,688,662,1350
1951,12-13,680,656,1336
